epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,613.29,0.14815,1,1,0.01411,0.000231088,0.000231088,0.000231088
82,624.249,0.09948,1,1,0.00574,0.000220089,0.000220089,0.000220089
83,628.671,0.10252,1,1,0.01041,0.00020909,0.00020909,0.00020909
84,639.603,0.09312,1,1,0.02254,0.000198091,0.000198091,0.000198091
85,643.968,0.10429,1,1,0.00939,0.000187092,0.000187092,0.000187092
86,654.977,0.11748,1,1,0.00679,0.000176094,0.000176094,0.000176094
87,659.573,0.10961,1,1,0.00634,0.000165095,0.000165095,0.000165095
88,670.967,0.11481,1,1,0.00683,0.000154096,0.000154096,0.000154096
89,675.39,0.08826,1,1,0.01671,0.000143097,0.000143097,0.000143097
90,685.807,0.10204,1,1,0.00638,0.000132098,0.000132098,0.000132098
91,690.418,0.11845,1,1,0.00667,0.000121099,0.000121099,0.000121099
92,701.142,0.10893,1,1,0.00529,0.0001101,0.0001101,0.0001101
93,705.548,0.13216,1,1,0.00424,9.91012e-05,9.91012e-05,9.91012e-05
94,716.447,0.10236,1,1,0.00709,8.81023e-05,8.81023e-05,8.81023e-05
95,720.866,0.09564,1,1,0.00681,7.71034e-05,7.71034e-05,7.71034e-05
96,731.308,0.0584,1,1,0.00599,6.61045e-05,6.61045e-05,6.61045e-05
97,735.612,0.12057,1,1,0.00886,5.51056e-05,5.51056e-05,5.51056e-05
98,746.472,0.08801,1,1,0.00746,4.41067e-05,4.41067e-05,4.41067e-05
99,751.103,0.09888,1,1,0.00931,3.31078e-05,3.31078e-05,3.31078e-05
100,762.274,0.11259,1,1,0.00995,2.21089e-05,2.21089e-05,2.21089e-05
